title,content_type,year,certificate,duration,genre,rating,votes
National Lampoon's Animal House,Movie,1978,R,109,Comedy,7.4,121253
Okja,TV Show,2017,TV-MA,120,"Action, Adventure, Drama",7.3,121183
Homefront,Movie,2013,R,100,"Action, Crime, Thriller",6.5,120729
The Last Dance,TV Show,2020,TV-MA,491,"Documentary, Biography, History",9.1,119768
When They See Us,TV Show,2019,TV-MA,296,"Biography, Crime, Drama",8.9,119339
Step Up,Movie,2006,PG-13,104,"Crime, Drama, Music",6.5,119288
Top Gear,TV Show,2002,TV-PG,60,"Adventure, Comedy, Reality-TV",8.7,118264
Booksmart,Movie,2019,R,102,Comedy,7.1,117900
Spy Kids,Movie,2001,PG,88,"Action, Adventure, Comedy",5.6,117739
Gods of Egypt,Movie,2016,PG-13,127,"Action, Adventure, Fantasy",5.4,117441
The Sandman,TV Show,2022,TV-MA,45,"Drama, Fantasy, Horror",7.8,116358
Out of the Furnace,Movie,2013,R,116,"Action, Crime, Drama",6.7,116319
Premium Rush,Movie,2012,PG-13,91,"Action, Crime, Thriller",6.5,114322
Doom,Movie,2005,R,105,"Action, Horror, Sci-Fi",5.2,113934
Serendipity,Movie,2001,PG-13,90,"Comedy, Romance",6.8,113554
The Lorax,Movie,2012,PG,86,"Animation, Adventure, Comedy",6.4,112998
Red Riding Hood,Movie,2011,PG-13,100,"Fantasy, Horror, Mystery",5.4,112459
101 Dalmatians,Movie,1996,G,103,"Adventure, Comedy, Crime",5.7,111407
Midnight Mass,TV Show,2021,TV-MA,450,"Drama, Fantasy, Horror",7.7,110997
Hannibal Rising,Movie,2007,R,121,"Adventure, Crime, Drama",6.1,110447
Hustle,Movie,2022,R,117,"Comedy, Drama, Sport",7.3,110391
Easy Rider,Movie,1969,R,95,"Adventure, Drama",7.3,110079
Downsizing,Movie,2017,R,135,"Drama, Fantasy, Sci-Fi",5.7,110069
Gerald's Game,TV Show,2017,TV-MA,103,"Drama, Horror, Thriller",6.5,108970
The Lucky One,Movie,2012,PG-13,101,"Drama, Mystery, Romance",6.4,108807
Alice Through the Looking Glass,Movie,2016,PG,113,"Adventure, Family, Fantasy",6.1,108693
The Invitation,Movie,2015,Not Rated,100,"Drama, Horror, Mystery",6.6,108509
Geostorm,Movie,2017,PG-13,109,"Action, Sci-Fi, Thriller",5.3,108072
Mirrors,Movie,2008,R,110,"Horror, Mystery",6.1,107940
The Unforgivable,Movie,2021,R,112,"Crime, Drama",7.1,107709
RRR,Movie,2022,Not Rated,187,"Action, Drama",8.0,107203
To All the Boys I've Loved Before,TV Show,2018,TV-14,99,"Comedy, Drama, Romance",7.0,107043
The Defenders,TV Show,2017,TV-MA,50,"Action, Adventure, Crime",7.2,106814
The Mitchells vs the Machines,Movie,2021,PG,114,"Animation, Adventure, Comedy",7.6,106685
The Cloverfield Paradox,Movie,2018,PG-13,102,"Action, Horror, Sci-Fi",5.5,105228
Lupin,TV Show,2021,TV-MA,45,"Action, Crime, Drama",7.5,105218
Touch of Evil,Movie,1958,PG-13,95,"Crime, Drama, Film-Noir",8.0,104511
"tick, tick... BOOM!",Movie,2021,PG-13,120,"Biography, Drama, Musical",7.5,103537
Cloudy with a Chance of Meatballs 2,Movie,2013,PG,95,"Animation, Adventure, Comedy",6.3,103309
Extremely Loud & Incredibly Close,Movie,2011,PG-13,129,"Adventure, Drama, Mystery",6.9,102189
The Haunting of Bly Manor,TV Show,2020,TV-MA,494,"Drama, Horror, Mystery",7.3,101853
Colombiana,Movie,2011,PG-13,108,"Action, Drama, Thriller",6.4,101670
Unbelievable,TV Show,2019,TV-MA,385,"Crime, Drama",8.4,100699
Philomena,Movie,2013,PG-13,98,"Biography, Comedy, Drama",7.6,100206
You're Next,Movie,2011,R,95,"Horror, Thriller",6.5,99371
Conan the Barbarian,Movie,2011,R,113,"Action, Adventure, Fantasy",5.1,99364
Cars 3,Movie,2017,G,102,"Animation, Adventure, Comedy",6.7,99256
The Ritual,TV Show,2017,TV-MA,94,"Horror, Mystery, Thriller",6.3,99253
The Little Things,Movie,2021,R,128,"Crime, Drama, Mystery",6.3,99050
The Green Knight,Movie,2021,R,130,"Adventure, Drama, Fantasy",6.6,98337
Titans,TV Show,2018,TV-MA,45,"Action, Adventure, Crime",7.6,98315
Demon Slayer: Kimetsu no Yaiba,TV Show,2019,TV-MA,24,"Animation, Action, Adventure",8.7,97968
American Crime Story,TV Show,2016,TV-MA,42,"Biography, Crime, Drama",8.4,95054
Malcolm X,Movie,1992,PG-13,202,"Biography, Drama, History",7.7,94756
Russian Doll,TV Show,2019,TV-MA,30,"Comedy, Drama, Mystery",7.8,94732
The DUFF,Movie,2015,PG-13,101,"Comedy, Romance",6.4,94704
The Quick and the Dead,Movie,1995,R,108,"Action, Romance, Thriller",6.5,94644
Knock Knock,Movie,2015,R,99,"Drama, Thriller",4.9,94594
Resident Evil: The Final Chapter,Movie,2016,R,107,"Action, Horror, Sci-Fi",5.5,94352
Eurovision Song Contest: The Story of Fire Saga,Movie,2020,PG-13,123,"Comedy, Musical",6.5,93701
